STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
9.5;127;17;32.14461548;33.74091479
9.4;127;17;33.93029834;33.20316553
9.2;128;17;33.74091479;27.02589929
9.2;128;17;33.20316553;26.63793237
9.2;129;16;27.02589929;29.42489868
9.2;131;16;26.63793237;32.27053223
9.2;132;16;29.42489868;34.76546509
9.1;138;17;32.27053223;32.27286621
8.9;143;16;34.76546509;32.02118213
8.8;149;16;32.27286621;29.44533185
8.4;143;17;32.02118213;30.09321533
7.9;138;17;29.44533185;30.28663208
7.5;132;17;30.09321533;28.45456555
7.3;134;17;30.28663208;26.09373218
7.2;136;17;28.45456555;24.19834875
7.0;134;17;26.09373218;28.93369873
7.3;136;17;24.19834875;26.76644873
7.7;139;17;28.93369873;28.96148193
8.0;141;17;26.76644873;30.51193188
8.0;143;17;28.96148193;25.82726587
7.9;144;17;30.51193188;24.58758228
7.9;146;17;25.82726587;25.1371991
7.6;145;17;24.58758228;24.11284839
7.3;145;17;25.1371991;24.69566565
7.0;144;17;24.11284839;25.65788196
6.9;142;17;24.69566565;22.65914893
6.9;139;17;25.65788196;19.98134875
6.8;138;17;22.65914893;18.50018213
6.8;140;16;19.98134875;25.97743237
6.9;143;16;18.50018213;28.27204907
6.9;145;16;25.97743237;26.73144946
6.7;149;16;28.27204907;27.34676587
6.4;152;16;26.73144946;23.62199939
6.2;156;16;27.34676587;15.43278259
5.8;156;17;23.62199939;11.18423285
5.3;157;17;15.43278259;8.205199646
4.9;157;17;11.18423285;7.85366629
4.7;156;17;8.205199646;6.137766251
4.6;154;17;7.85366629;5.259099915
2.8;148;17;6.137766251;5.32208316
3.3;143;17;5.259099915;5.2789664919999995
3.9;139;17;5.32208316;10.05861627
4.4;134;17;5.2789664919999995;11.69861609
4.9;135;17;10.05861627;11.07849933
5.5;137;17;11.69861609;14.11221625
6.0;138;17;11.07849933;16.22096588
5.7;141;17;14.11221625;13.36849933
5.3;144;17;16.22096588;17.83371606
5.0;147;17;13.36849933;8.917732971
