STORM-YVik1-Vindhast-25km delayed_2;STORM-YVik1-Vindhast-25km delayed_1;STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km delayed_2;STORM-YVik1-Vindretn-25km delayed_1;STORM-YVik1-Vindretn-25km;/arome_windvel_6491_1087 delayed_2;/arome_windvel_6491_1087 delayed_1;/arome_windvel_6491_1087;/arome_airtemp_6491_1087 delayed_2;/arome_airtemp_6491_1087 delayed_1;/arome_airtemp_6491_1087;/arome_windvel_6481_1056 delayed_2;/arome_windvel_6481_1056 delayed_1;/arome_windvel_6481_1056;DNMI_75410...........T0015A3-0120;/arome_windvel_6482_1114 delayed_2;/arome_windvel_6482_1114 delayed_1;/arome_windvel_6482_1114;DNMI_75220...........T0015A3-0120;/arome_windvel_6520_1098 delayed_2;/arome_windvel_6520_1098 delayed_1;/arome_windvel_6520_1098;DNMI_75550...........T0015A3-0120;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
7.5;7.1;6.8;226.0;227.0;227;4.048453336000001;3.670121405;4.225735018;12.6183;12.84268;13.2848;6.965354746;6.670067085;6.916535743;5.51;6.246301905;5.334155989;4.930413971;7.1;6.8518409579999995;6.826080983;7.01775115;5.51;17;10.950966000000001;11.79983282
7.1;6.8;6.4;227.0;227.0;228;3.670121405;4.225735018;4.503072118;12.84268;13.2848;13.163;6.670067085;6.916535743;7.536729708999999;5.35;5.334155989;4.930413971;5.358600234;6.8;6.826080983;7.01775115;7.606559455;5.35;17;11.25808276;8.112733032000001
6.8;6.4;6.2;227.0;228.0;226;4.225735018;4.503072118;4.288696;13.2848;13.163;12.90884;6.916535743;7.536729708999999;6.81637686;5.06;4.930413971;5.358600234;4.80230155;6.3;7.01775115;7.606559455;7.872132366000001;5.06;17;11.79983282;8.964582886
6.4;6.2;5.9;228.0;226.0;223;4.503072118;4.288696;4.201257318;13.163;12.90884;13.235;7.536729708999999;6.81637686;6.861911853;4.61;5.358600234;4.80230155;4.545026181;6.1;7.606559455;7.872132366000001;6.9414336389999995;4.61;17;8.112733032000001;8.178182922000001
6.2;5.9;5.7;226.0;223.0;221;4.288696;4.201257318;4.060961003;12.90884;13.235;13.50405;6.81637686;6.861911853;6.5606352789999995;4.2;4.80230155;4.545026181;3.834175572;5.3;7.872132366000001;6.9414336389999995;7.073476705;4.2;17;8.964582886;6.838866516
5.9;5.7;5.1;223.0;221.0;215;4.201257318;4.060961003;3.7502321569999997;13.235;13.50405;13.243070000000001;6.861911853;6.5606352789999995;5.926340882000001;3.68;4.545026181;3.834175572;3.710045295;5.1;6.9414336389999995;7.073476705;7.009470867;3.68;17;8.178182922000001;4.8075830989999995
5.7;5.1;4.6;221.0;215.0;209;4.060961003;3.7502321569999997;2.608680372;13.50405;13.243070000000001;12.82656;6.5606352789999995;5.926340882000001;5.655588111;3.46;3.834175572;3.710045295;2.699356183;4.0;7.073476705;7.009470867;6.506405843;3.46;17;6.838866516;2.974149933
5.1;4.6;4.1;215.0;209.0;201;3.7502321569999997;2.608680372;1.9533481209999999;13.243070000000001;12.82656;11.9313;5.926340882000001;5.655588111;5.52447905;3.01;3.710045295;2.699356183;1.919262456;2.9;7.009470867;6.506405843;6.40280315;3.01;17;4.8075830989999995;2.764699982
4.6;4.1;3.9;209.0;201.0;196;2.608680372;1.9533481209999999;2.088658155;12.82656;11.9313;10.185939999999999;5.655588111;5.52447905;4.903068528;2.48;2.699356183;1.919262456;1.7474968569999998;1.4;6.506405843;6.40280315;6.110557963;2.48;17;2.974149933;2.808266632
4.1;3.9;3.8;201.0;196.0;191;1.9533481209999999;2.088658155;2.183809773;11.9313;10.185939999999999;9.46108;5.52447905;4.903068528;4.661756494;2.62;1.919262456;1.7474968569999998;1.361073913;1.8;6.40280315;6.110557963;5.405700924;2.62;17;2.764699982;2.9731333010000003
3.9;3.8;3.6;196.0;191.0;186;2.088658155;2.183809773;2.185608085;10.185939999999999;9.46108;9.15664;4.903068528;4.661756494;4.598457482;2.72;1.7474968569999998;1.361073913;1.461685892;2.4;6.110557963;5.405700924;5.4214113820000005;2.72;17;2.808266632;2.9895832980000003
3.8;3.6;3.6;191.0;186.0;180;2.183809773;2.185608085;2.1755522469999997;9.46108;9.15664;9.04043;4.661756494;4.598457482;4.087219413;2.99;1.361073913;1.461685892;1.530369991;3.9;5.405700924;5.4214113820000005;4.961634758;2.99;17;2.9731333010000003;2.8689832760000002
3.6;3.6;3.5;186.0;180.0;174;2.185608085;2.1755522469999997;2.256550586;9.15664;9.04043;8.78628;4.598457482;4.087219413;3.8162789760000004;3.18;1.461685892;1.530369991;1.663443655;3.5;5.4214113820000005;4.961634758;4.852368056;3.18;17;2.9895832980000003;2.898749969
3.6;3.5;3.5;180.0;174.0;168;2.1755522469999997;2.256550586;2.684655507;9.04043;8.78628;9.60317;4.087219413;3.8162789760000004;4.955963526000001;3.3;1.530369991;1.663443655;1.7979988999999998;3.0;4.961634758;4.852368056;6.020528895;3.3;17;2.8689832760000002;2.738999985
3.5;3.5;3.3;174.0;168.0;157;2.256550586;2.684655507;2.66644618;8.78628;9.60317;9.67837;3.8162789760000004;4.955963526000001;4.716660977;3.28;1.663443655;1.7979988999999998;1.445346922;1.4;4.852368056;6.020528895;6.343128673;3.28;17;2.898749969;2.553
3.5;3.3;3.2;168.0;157.0;147;2.684655507;2.66644618;2.637561938;9.60317;9.67837;9.36074;4.955963526000001;4.716660977;4.3019980669999995;2.84;1.7979988999999998;1.445346922;1.48785921;0.8;6.020528895;6.343128673;5.972944887000001;2.84;17;2.738999985;2.406699993
3.3;3.2;3.0;157.0;147.0;136;2.66644618;2.637561938;2.812941617;9.67837;9.36074;9.07168;4.716660977;4.3019980669999995;4.714006605;2.6;1.445346922;1.48785921;1.510201734;1.4;6.343128673;5.972944887000001;6.127243466;2.6;17;2.553;2.220399994
3.2;3.0;3.1;147.0;136.0;137;2.637561938;2.812941617;2.747376374;9.36074;9.07168;8.8102;4.3019980669999995;4.714006605;4.53829107;2.63;1.48785921;1.510201734;1.540444181;2.3;5.972944887000001;6.127243466;5.5103516720000005;2.63;17;2.406699993;2.3365
3.0;3.1;3.3;136.0;137.0;137;2.812941617;2.747376374;2.822523872;9.07168;8.8102;8.847560000000001;4.714006605;4.53829107;4.310817419;3.04;1.510201734;1.540444181;1.74182991;2.3;6.127243466;5.5103516720000005;4.674032358;3.04;17;2.220399994;2.471
3.1;3.3;4.1;137.0;137.0;143;2.747376374;2.822523872;2.9389863689999998;8.8102;8.847560000000001;9.7665;4.53829107;4.310817419;3.522962078;2.97;1.540444181;1.74182991;1.5346198780000002;1.7;5.5103516720000005;4.674032358;4.86644229;2.97;17;2.3365;3.102199997
3.3;4.1;4.0;137.0;143.0;147;2.822523872;2.9389863689999998;3.619520309;8.847560000000001;9.7665;10.832419999999999;4.310817419;3.522962078;3.3854598389999997;3.34;1.74182991;1.5346198780000002;2.23703068;2.4;4.674032358;4.86644229;4.560619104;3.34;17;2.471;3.384833252
4.1;4.0;4.0;143.0;147.0;152;2.9389863689999998;3.619520309;3.92410277;9.7665;10.832419999999999;11.92788;3.522962078;3.3854598389999997;3.4750957430000002;3.61;1.5346198780000002;2.23703068;3.450918052;2.7;4.86644229;4.560619104;4.993623292;3.61;17;3.102199997;4.869016418
4.0;4.0;3.9;147.0;152.0;156;3.619520309;3.92410277;3.770296617;10.832419999999999;11.92788;13.27334;3.3854598389999997;3.4750957430000002;2.9568300880000002;3.23;2.23703068;3.450918052;3.378025608;2.2;4.560619104;4.993623292;4.745768099;3.23;17;3.384833252;5.591683075
4.0;3.9;3.6;152.0;156.0;149;3.92410277;3.770296617;3.518468393;11.92788;13.27334;14.4357;3.4750957430000002;2.9568300880000002;2.407497829;3.33;3.450918052;3.378025608;3.283976993;2.9;4.993623292;4.745768099;3.94210026;3.33;17;4.869016418;6.589616455
3.9;3.6;3.4;156.0;149.0;142;3.770296617;3.518468393;3.6210837330000003;13.27334;14.4357;15.4418;2.9568300880000002;2.407497829;1.569408492;3.38;3.378025608;3.283976993;2.9076926810000003;2.2;4.745768099;3.94210026;2.608146142;3.38;17;5.591683075;5.5550497739999996
